,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
451,-81525.92142466792,-1.0,10,random,10000,2
452,-1920937.5774332602,-1.0,50,random,10000,2
453,-42415.13592663024,-1.0,5,latin_cube_u,10000,2
454,-103345.78808958964,-1.0,10,latin_cube_u,10000,2
455,-1364546.979043826,-1.0,50,latin_cube_u,10000,2
456,-44806.192924011266,-1.0,5,latin_cube_q,10000,2
457,-78254.80644594437,-1.0,10,latin_cube_q,10000,2
458,-1429102.4637106752,-1.0,50,latin_cube_q,10000,2
459,-53543.97111781206,-1.0,5,uniform,10000,2
460,-57571.16041480828,-1.0,10,uniform,10000,2
461,-1976398.9424322161,-1.0,50,uniform,10000,2
462,-35967.402039704095,0.0134,5,,10000,2
463,-35967.40172536069,0.9789,10,,10000,2
464,-38620.36596619282,0.5521,50,,10000,2
465,-41466.29479541377,-1.0,5,random,10000,2
466,-78752.0836564897,-1.0,10,random,10000,2
467,-1779548.5258579585,-1.0,50,random,10000,2
468,-48140.954798085746,-1.0,5,latin_cube_u,10000,2
469,-90584.14710818647,-1.0,10,latin_cube_u,10000,2
470,-1176671.8288838929,-1.0,50,latin_cube_u,10000,2
471,-43659.543439952686,-1.0,5,latin_cube_q,10000,2
472,-88740.68878624467,-1.0,10,latin_cube_q,10000,2
473,-2527077.881956683,-1.0,50,latin_cube_q,10000,2
474,-38767.6483146037,-1.0,5,uniform,10000,2
475,-89866.69869880364,-1.0,10,uniform,10000,2
476,-1944126.4052225123,-1.0,50,uniform,10000,2
477,-35910.15621042626,0.0079,5,,10000,2
478,-35910.15613924299,0.9776,10,,10000,2
479,-35910.15663395468,0.9776,50,,10000,2
480,-48051.54321139576,-1.0,5,random,10000,2
481,-75817.82033288667,-1.0,10,random,10000,2
482,-1895039.823242756,-1.0,50,random,10000,2
483,-43657.82231492487,-1.0,5,latin_cube_u,10000,2
484,-98329.78117563274,-1.0,10,latin_cube_u,10000,2
485,-1126780.8498797363,-1.0,50,latin_cube_u,10000,2
486,-43109.48828862986,-1.0,5,latin_cube_q,10000,2
487,-105583.63446191381,-1.0,10,latin_cube_q,10000,2
488,-1461601.046182782,-1.0,50,latin_cube_q,10000,2
489,-44869.493710448194,-1.0,5,uniform,10000,2
490,-97571.94702665534,-1.0,10,uniform,10000,2
491,-1138081.2157454311,-1.0,50,uniform,10000,2
492,-35945.12812533259,0.9787,5,,10000,2
493,-35945.12823955043,0.9788,10,,10000,2
494,-35945.1282273252,0.0084,50,,10000,2
495,-44795.944680830704,-1.0,5,random,10000,2
496,-74357.30621222184,-1.0,10,random,10000,2
497,-1984405.3847840645,-1.0,50,random,10000,2
498,-37504.233664076695,-1.0,5,latin_cube_u,10000,2
